--Category(test start)start--,
test start, (Added: 2024-01-01), <-- reason: test start,
JAWAD RAJPUT, (Added: Unknown Date), <-- reason: No reason provided.,
Jayde Ring, (Added: Unknown Date), <-- reason: No reason provided.,
JayJee, (Added: Unknown Date), <-- reason: No reason provided.,
jeff says, (Added: Unknown Date), <-- reason: No reason provided.,
Jertan, (Added: Unknown Date), <-- reason: No reason provided.,
JIHADHI JOHN, (Added: Unknown Date), <-- reason: No reason provided.,
Jijajohnson, (Added: Unknown Date), <-- reason: No reason provided.,
jimboh, (Added: Unknown Date), <-- reason: No reason provided.,
jimmy mew, (Added: Unknown Date), <-- reason: No reason provided.,
Joel Play, (Added: Unknown Date), <-- reason: No reason provided.,
Joes Muffin, (Added: Unknown Date), <-- reason: No reason provided.,
JohanRg21, (Added: Unknown Date), <-- reason: No reason provided.,
Johnny Cute, (Added: Unknown Date), <-- reason: No reason provided.,
Jon1235, (Added: Unknown Date), <-- reason: No reason provided.,
Jonnaybravo, (Added: Unknown Date), <-- reason: No reason provided.,
jony XD, (Added: Unknown Date), <-- reason: No reason provided.,
Jose AGG, (Added: Unknown Date), <-- reason: No reason provided.,
Josee75, (Added: Unknown Date), <-- reason: No reason provided.,
JoseRod, (Added: Unknown Date), <-- reason: No reason provided.,
Jou, (Added: Unknown Date), <-- reason: No reason provided.,
Joumoederr, (Added: Unknown Date), <-- reason: No reason provided.,
jraw af bih, (Added: Unknown Date), <-- reason: No reason provided.,
Jszn, (Added: Unknown Date), <-- reason: No reason provided.,
jungsoo, (Added: Unknown Date), <-- reason: No reason provided.,
junid 11, (Added: Unknown Date), <-- reason: No reason provided.,
JUST IGNOREE, (Added: Unknown Date), <-- reason: No reason provided.,
JustBoughtGP, (Added: Unknown Date), <-- reason: No reason provided.,
JustMadG, (Added: Unknown Date), <-- reason: No reason provided.,
JustxJoker7, (Added: Unknown Date), <-- reason: No reason provided.,
K izz, (Added: Unknown Date), <-- reason: No reason provided.,
K Mny, (Added: Unknown Date), <-- reason: No reason provided.,
k o k o, (Added: Unknown Date), <-- reason: No reason provided.,
k u t d in g, (Added: Unknown Date), <-- reason: No reason provided. [Proof: evidence/k_u_t_d_in_g/k_u_t_d_in_g_20260321_015404.png],
K-J-V-S, (Added: Unknown Date), <-- reason: No reason provided.,
K28, (Added: Unknown Date), <-- reason: No reason provided.,
k_YU-GI-OH_k, (Added: Unknown Date), <-- reason: No reason provided.,
Kacti, (Added: Unknown Date), <-- reason: No reason provided.,
KahBahGPatch, (Added: Unknown Date), <-- reason: No reason provided.,
kai22304, (Added: Unknown Date), <-- reason: No reason provided.,
kajahnkhk, (Added: Unknown Date), <-- reason: No reason provided.,
karamjongun, (Added: Unknown Date), <-- reason: No reason provided.,
KARLUCHO 82, (Added: Unknown Date), <-- reason: No reason provided.,
Karmanati, (Added: Unknown Date), <-- reason: No reason provided.,
Kastratoren, (Added: 2026-05-08), <-- reason: Removed from ban list,
KatalinaOSRS, (Added: Unknown Date), <-- reason: No reason provided.,
Kawpew, (Added: Unknown Date), <-- reason: No reason provided.,
Kayn17, (Added: Unknown Date), <-- reason: No reason provided.,
KevinShaw, (Added: Unknown Date), <-- reason: No reason provided.,
kgakm, (Added: Unknown Date), <-- reason: No reason provided.,
KHAAAII, (Added: Unknown Date), <-- reason: No reason provided.,
Khamas, (Added: Unknown Date), <-- reason: No reason provided.,
Khubsuraat, (Added: Unknown Date), <-- reason: No reason provided.,
kibyt0, (Added: Unknown Date), <-- reason: No reason provided.,
Kicking 99, (Added: Unknown Date), <-- reason: No reason provided.,
Kief Catcher, (Added: Unknown Date), <-- reason: No reason provided.,
killing birb, (Added: Unknown Date), <-- reason: No reason provided.,
King Bakz, (Added: Unknown Date), <-- reason: No reason provided.,
king of pak, (Added: Unknown Date), <-- reason: No reason provided.,
KING TOHIL, (Added: Unknown Date), <-- reason: No reason provided.,
KING-PK-TOXI, (Added: Unknown Date), <-- reason: No reason provided.,
KINNTO, (Added: Unknown Date), <-- reason: No reason provided.,
kishakhan, (Added: Unknown Date), <-- reason: No reason provided.,
kismat to, (Added: Unknown Date), <-- reason: No reason provided.,
KissMyAssot, (Added: Unknown Date), <-- reason: No reason provided.,
kneegarh8r1, (Added: Unknown Date), <-- reason: No reason provided.,
KPULETO_SIX, (Added: Unknown Date), <-- reason: No reason provided.,
KrillinSkiln, (Added: 2026-05-17), <-- reason: Removed from ban list,
KrisPjews, (Added: Unknown Date), <-- reason: No reason provided.,
Krispy Vesta, (Added: Unknown Date), <-- reason: No reason provided.,
Kruncha, (Added: Unknown Date), <-- reason: No reason provided.,
Kuthay, (Added: Unknown Date), <-- reason: No reason provided.,
Kuto, (Added: Unknown Date), <-- reason: No reason provided.,
L FC, (Added: 2026-03-10), <-- reason: removed from banlist,
l IB IH l, (Added: 2026-03-10), <-- reason: removed from banlist,
l iLL1 l, (Added: Unknown Date), <-- reason: No reason provided.,
l Lateralus, (Added: Unknown Date), <-- reason: No reason provided.,
l MIKE TYSON, (Added: Unknown Date), <-- reason: No reason provided.,
l TB l, (Added: Unknown Date), <-- reason: No reason provided.,
L3 g0ku04, (Added: Unknown Date), <-- reason: No reason provided.,
l3ud, (Added: Unknown Date), <-- reason: No reason provided.,
L4RNG, (Added: Unknown Date), <-- reason: No reason provided.,
ladyy hanna, (Added: Unknown Date), <-- reason: No reason provided.,
Lake Cabin, (Added: Unknown Date), <-- reason: No reason provided.,
lallie11, (Added: Unknown Date), <-- reason: No reason provided.,
LaParcaORS, (Added: Unknown Date), <-- reason: No reason provided.,
lawoutlaw, (Added: Unknown Date), <-- reason: No reason provided.,
Lazy Cats, (Added: Unknown Date), <-- reason: No reason provided.,
LC-KING LOCO, (Added: Unknown Date), <-- reason: No reason provided.,
lce Box, (Added: Unknown Date), <-- reason: No reason provided.,
lce posieden, (Added: Unknown Date), <-- reason: No reason provided.,
Learnintoluv, (Added: Unknown Date), <-- reason: No reason provided.,
LeftArmOGod, (Added: 2026-05-17), <-- reason: Removed from ban list,
LeGoomba, (Added: Unknown Date), <-- reason: No reason provided.,
lemon bits, (Added: Unknown Date), <-- reason: No reason provided.,
leopardi m, (Added: Unknown Date), <-- reason: No reason provided.,
Lessshgo, (Added: Unknown Date), <-- reason: No reason provided.,
LetMeHelp, (Added: Unknown Date), <-- reason: No reason provided.,
light mika 4, (Added: Unknown Date), <-- reason: No reason provided.,
Ligmuh B00TY, (Added: 2026-05-17), <-- reason: Removed from ban list,
Lil Pugga, (Added: Unknown Date), <-- reason: No reason provided.,
LilacRainbow, (Added: Unknown Date), <-- reason: No reason provided.,
LilGIMP, (Added: Unknown Date), <-- reason: No reason provided.,
Lines of CK, (Added: Unknown Date), <-- reason: No reason provided.,
linomz25, (Added: 2026-05-17), <-- reason: Removed from ban list,
Little Allie, (Added: Unknown Date), <-- reason: No reason provided.,
Little Limby, (Added: Unknown Date), <-- reason: No reason provided.,
Live Hash, (Added: Unknown Date), <-- reason: No reason provided.,
live leaks, (Added: Unknown Date), <-- reason: No reason provided.,
Llorenlo Rat, (Added: Unknown Date), <-- reason: No reason provided.,
lm a Trap, (Added: Unknown Date), <-- reason: No reason provided.,
lm On Tren, (Added: Unknown Date), <-- reason: No reason provided.,
lm Over lt, (Added: Unknown Date), <-- reason: No reason provided.,
lmm dead, (Added: Unknown Date), <-- reason: No reason provided.,
lMm3, (Added: Unknown Date), <-- reason: No reason provided.,
LN Messi, (Added: Unknown Date), <-- reason: No reason provided.,
lntf, (Added: 2026-03-10), <-- reason: removed from banlist,
Loc callisto, (Added: Unknown Date), <-- reason: No reason provided.,
Lol You Died, (Added: Unknown Date), <-- reason: No reason provided.,
LongBanana, (Added: 2026-03-26), <-- reason: Check Discord history,
Lord Fabyy 1, (Added: Unknown Date), <-- reason: No reason provided.,
lordkillborn, (Added: Unknown Date), <-- reason: No reason provided.,
Loskee, (Added: Unknown Date), <-- reason: No reason provided.,
LOUlSlANlMAL, (Added: Unknown Date), <-- reason: No reason provided.,
Lov3more, (Added: Unknown Date), <-- reason: No reason provided.,
Love Her, (Added: Unknown Date), <-- reason: No reason provided.,
love hers, (Added: Unknown Date), <-- reason: No reason provided.,
LOVE LIFEE, (Added: Unknown Date), <-- reason: No reason provided.,
loved911, (Added: Unknown Date), <-- reason: No reason provided.,
lRelentlessI, (Added: 2026-05-17), <-- reason: Removed from ban list,
Lucky Brolly, (Added: 2026-05-08), <-- reason: Removed from ban list,
luckyrabit69, (Added: Unknown Date), <-- reason: No reason provided.,
LuLu Bintang, (Added: Unknown Date), <-- reason: No reason provided.,
Luunar, (Added: Unknown Date), <-- reason: No reason provided.,
luv ba, (Added: Unknown Date), <-- reason: No reason provided.,
Lvl 47 Bully, (Added: Unknown Date), <-- reason: No reason provided.,
lvl 89, (Added: Unknown Date), <-- reason: No reason provided.,
LvL T, (Added: Unknown Date), <-- reason: No reason provided.,
lWET SHART, (Added: Unknown Date), <-- reason: No reason provided.,
M A R C, (Added: Unknown Date), <-- reason: No reason provided.,
m acd, (Added: Unknown Date), <-- reason: No reason provided.,
M aglc, (Added: Unknown Date), <-- reason: No reason provided.,
M AHMAD 1, (Added: Unknown Date), <-- reason: No reason provided.,
M ZAHEER MAX, (Added: Unknown Date), <-- reason: No reason provided.,
M1dn1ghtxIMG, (Added: Unknown Date), <-- reason: No reason provided.,
M3 c, (Added: Unknown Date), <-- reason: No reason provided.,
Maac, (Added: 2026-03-10), <-- reason: removed from banlist,
Macario ham1, (Added: Unknown Date), <-- reason: No reason provided.,
Maddieluv, (Added: Unknown Date), <-- reason: No reason provided.,
MaddutchyIM, (Added: Unknown Date), <-- reason: No reason provided.,
madjung, (Added: Unknown Date), <-- reason: No reason provided.,
Madlibz, (Added: Unknown Date), <-- reason: No reason provided.,
Maeng Da, (Added: Unknown Date), <-- reason: No reason provided.,
Maglc Fang, (Added: Unknown Date), <-- reason: No reason provided.,
MagnumDongle, (Added: Unknown Date), <-- reason: No reason provided.,
MAHERO MAHRO, (Added: Unknown Date), <-- reason: No reason provided.,
Mailsack, (Added: Unknown Date), <-- reason: No reason provided.,
mains at nex, (Added: Unknown Date), <-- reason: No reason provided.,
Majin Zyn, (Added: Unknown Date), <-- reason: No reason provided.,
MajorGimFart, (Added: Unknown Date), <-- reason: No reason provided.,
Makeout Reef, (Added: Unknown Date), <-- reason: No reason provided.,
Mango K, (Added: Unknown Date), <-- reason: No reason provided.,
MANI G, (Added: Unknown Date), <-- reason: No reason provided.,
MANNHA, (Added: Unknown Date), <-- reason: No reason provided.,
MANZOR SHAH, (Added: Unknown Date), <-- reason: No reason provided.,
March F0urth, (Added: Unknown Date), <-- reason: No reason provided.,
maria lado, (Added: Unknown Date), <-- reason: No reason provided.,
Marijuanitta, (Added: Unknown Date), <-- reason: No reason provided.,
MARLONAFM, (Added: Unknown Date), <-- reason: No reason provided.,
massom s jan, (Added: Unknown Date), <-- reason: No reason provided.,
MasterZeal_4, (Added: Unknown Date), <-- reason: No reason provided.,
max 1 in, (Added: Unknown Date), <-- reason: No reason provided.,
Max EliteRS, (Added: Unknown Date), <-- reason: No reason provided.,
Maximum Hit, (Added: Unknown Date), <-- reason: No reason provided.,
MaximumTit, (Added: 2026-05-17), <-- reason: Removed from ban list,
McRibs Back, (Added: Unknown Date), <-- reason: No reason provided.,
med level sw, (Added: Unknown Date), <-- reason: No reason provided.,
med lvl swap, (Added: Unknown Date), <-- reason: No reason provided.,
Media Sheeps, (Added: Unknown Date), <-- reason: No reason provided.,
medusaa_a, (Added: Unknown Date), <-- reason: No reason provided.,
megan3011, (Added: Unknown Date), <-- reason: No reason provided.,
MeLB0uRne 0z, (Added: Unknown Date), <-- reason: No reason provided.,
meownings, (Added: Unknown Date), <-- reason: No reason provided.,
Mera Pyaar, (Added: Unknown Date), <-- reason: No reason provided.,
meta account, (Added: Unknown Date), <-- reason: No reason provided.,
META ADS, (Added: Unknown Date), <-- reason: No reason provided.,
Metal C0w, (Added: Unknown Date), <-- reason: No reason provided.,
Mexizerk, (Added: Unknown Date), <-- reason: No reason provided.,
MHAAAANIIIII, (Added: Unknown Date), <-- reason: No reason provided.,
Mi No Habla, (Added: 2026-05-08), <-- reason: Removed from ban list,
Michael_V-15, (Added: Unknown Date), <-- reason: No reason provided.,
Miike Chopp, (Added: Unknown Date), <-- reason: No reason provided.,
Mike Pk Ftw, (Added: Unknown Date), <-- reason: No reason provided.,
Mini Gune, (Added: Unknown Date), <-- reason: No reason provided.,
Mirocj, (Added: Unknown Date), <-- reason: No reason provided.,
Mis Mead cc, (Added: Unknown Date), <-- reason: No reason provided.,
Misba bibi, (Added: Unknown Date), <-- reason: No reason provided.,
MISFIIIIITS, (Added: Unknown Date), <-- reason: No reason provided.,
Misfit SW cc, (Added: Unknown Date), <-- reason: No reason provided.,
MISS RAISTAR, (Added: 2026-05-17), <-- reason: Removed from ban list,
Miss Ticks, (Added: Unknown Date), <-- reason: No reason provided.,
miss u sidho, (Added: Unknown Date), <-- reason: No reason provided.,
MissNightRH, (Added: Unknown Date), <-- reason: No reason provided.,
missoure, (Added: Unknown Date), <-- reason: No reason provided.,
Mister oop, (Added: Unknown Date), <-- reason: No reason provided.,
Mistic777, (Added: Unknown Date), <-- reason: No reason provided.,
MISTR RAGER, (Added: Unknown Date), <-- reason: No reason provided.,
Mitch Starc, (Added: Unknown Date), <-- reason: No reason provided.,
mitch starc1, (Added: Unknown Date), <-- reason: No reason provided.,
Mix Heladito, (Added: Unknown Date), <-- reason: No reason provided.,
MJD, (Added: Unknown Date), <-- reason: No reason provided.,
MlNGE ODOUR, (Added: Unknown Date), <-- reason: No reason provided.,
MOANA2420, (Added: Unknown Date), <-- reason: No reason provided.,
Mobil3king, (Added: Unknown Date), <-- reason: No reason provided.,
Mobile slapp, (Added: Unknown Date), <-- reason: No reason provided.,
Moe Money99, (Added: Unknown Date), <-- reason: No reason provided.,
mohamed atta, (Added: Unknown Date), <-- reason: No reason provided.,
moike nolan, (Added: Unknown Date), <-- reason: No reason provided.,
mold maxxing, (Added: Unknown Date), <-- reason: No reason provided.,
Moms Honda, (Added: Unknown Date), <-- reason: No reason provided.,
Monsianii, (Added: Unknown Date), <-- reason: No reason provided.,
Moomookow11, (Added: Unknown Date), <-- reason: No reason provided.,
Moose bus, (Added: Unknown Date), <-- reason: No reason provided.,
Moose Shadow, (Added: 2026-03-26), <-- reason: Check Discord history,
MorbinTyme, (Added: Unknown Date), <-- reason: No reason provided.,
mpty Space, (Added: Unknown Date), <-- reason: No reason provided.,
Mr Baby One, (Added: Unknown Date), <-- reason: No reason provided.,
mr buttfukr, (Added: Unknown Date), <-- reason: No reason provided.,
Mr Gun Guy, (Added: Unknown Date), <-- reason: No reason provided.,
MR JUTTTT, (Added: Unknown Date), <-- reason: No reason provided.,
MR PUDASUS, (Added: Unknown Date), <-- reason: No reason provided.,
Mr Sacred, (Added: Unknown Date), <-- reason: No reason provided.,
mr tankiop, (Added: Unknown Date), <-- reason: No reason provided.,
Mr Van Halen, (Added: Unknown Date), <-- reason: No reason provided.,
MrSniffTrout, (Added: Unknown Date), <-- reason: No reason provided.,
mucho power, (Added: Unknown Date), <-- reason: No reason provided.,
muhmad usama, (Added: Unknown Date), <-- reason: No reason provided.,
Mula Vibez, (Added: Unknown Date), <-- reason: No reason provided.,
MunDa-DewaNa, (Added: Unknown Date), <-- reason: No reason provided.,
MuNeER OsRs, (Added: Unknown Date), <-- reason: No reason provided.,
MurdaGetAway, (Added: Unknown Date), <-- reason: No reason provided.,
Murder she, (Added: Unknown Date), <-- reason: No reason provided.,
My Acc Slaps, (Added: Unknown Date), <-- reason: No reason provided.,
My Ironmain, (Added: Unknown Date), <-- reason: No reason provided.,
MY LOVE_C_J, (Added: Unknown Date), <-- reason: No reason provided.,
Mysteree, (Added: Unknown Date), <-- reason: No reason provided.,
N V 13 Def, (Added: Unknown Date), <-- reason: No reason provided.,
n00ran, (Added: Unknown Date), <-- reason: No reason provided.,
Naakt Hond, (Added: 2026-03-26), <-- reason: Check Discord history,
Naakt Hondi, (Added: 2026-03-26), <-- reason: Check Discord history,
nailed jesus, (Added: Unknown Date), <-- reason: No reason provided.,
Named Bort, (Added: Unknown Date), <-- reason: No reason provided.,
Namverwan, (Added: Unknown Date), <-- reason: No reason provided.,
NAVEED SAHIB, (Added: Unknown Date), <-- reason: No reason provided.,
nawab zadii, (Added: Unknown Date), <-- reason: No reason provided.,
Nazgul Wife, (Added: Unknown Date), <-- reason: No reason provided.,
nelis gim, (Added: Unknown Date), <-- reason: No reason provided.,
Neurovirus, (Added: Unknown Date), <-- reason: No reason provided.,
NewHCMuri, (Added: 2026-03-26), <-- reason: Check Discord history,
nex dry, (Added: Unknown Date), <-- reason: No reason provided.,
Nice Nature, (Added: 2026-03-26), <-- reason: Check Discord history,
nice pray, (Added: Unknown Date), <-- reason: No reason provided.,
nigel336, (Added: Unknown Date), <-- reason: No reason provided.,
Nite Fights, (Added: Unknown Date), <-- reason: No reason provided.,
Nlnja mauler, (Added: Unknown Date), <-- reason: No reason provided.,
No Boost cc, (Added: Unknown Date), <-- reason: No reason provided.,
no klue, (Added: Unknown Date), <-- reason: No reason provided.,
NO MORE HERE, (Added: Unknown Date), <-- reason: No reason provided.,
no twade, (Added: Unknown Date), <-- reason: No reason provided.,
nonomo4, (Added: Unknown Date), <-- reason: No reason provided.,
nopraynoskul, (Added: Unknown Date), <-- reason: No reason provided.,
nori bmud, (Added: Unknown Date), <-- reason: No reason provided.,
not bound, (Added: Unknown Date), <-- reason: No reason provided.,
Not Okayy, (Added: Unknown Date), <-- reason: No reason provided.,
not wish 105, (Added: Unknown Date), <-- reason: No reason provided.,
Noughtys, (Added: Unknown Date), <-- reason: No reason provided.,
Novatrix, (Added: 2026-03-22), <-- reason: Removed from banlist,
Noxaina, (Added: Unknown Date), <-- reason: No reason provided.,
Nrth, (Added: Unknown Date), <-- reason: No reason provided.,
Nugn, (Added: Unknown Date), <-- reason: No reason provided.,
numbly, (Added: Unknown Date), <-- reason: No reason provided.,
NuMMaN KuMRO, (Added: Unknown Date), <-- reason: No reason provided.,
Nut 2 Early, (Added: Unknown Date), <-- reason: No reason provided.,
NWAB L0G RAY, (Added: Unknown Date), <-- reason: No reason provided.,
ny times, (Added: Unknown Date), <-- reason: No reason provided.,
o d s t, (Added: Unknown Date), <-- reason: No reason provided.,
O S I R Y S, (Added: Unknown Date), <-- reason: No reason provided.,
OAKVlLLE, (Added: Unknown Date), <-- reason: No reason provided.,
oasamabballi, (Added: Unknown Date), <-- reason: No reason provided.,
ob1, (Added: Unknown Date), <-- reason: No reason provided.,
OCDoverdrive, (Added: Unknown Date), <-- reason: No reason provided.,
OCDPKA, (Added: Unknown Date), <-- reason: No reason provided.,
Oct7, (Added: Unknown Date), <-- reason: No reason provided.,
Of The Hill, (Added: Unknown Date), <-- reason: No reason provided.,
OG Driveby, (Added: Unknown Date), <-- reason: No reason provided.,
OG L0DBROK, (Added: Unknown Date), <-- reason: No reason provided.,
ogroshrek3, (Added: Unknown Date), <-- reason: No reason provided.,
oh nicee, (Added: Unknown Date), <-- reason: No reason provided.,
Ok Bud Died2, (Added: 2026-05-08), <-- reason: Removed from ban list,
ol dynamic, (Added: Unknown Date), <-- reason: No reason provided.,
ol K, (Added: Unknown Date), <-- reason: No reason provided.,
ol mates, (Added: Unknown Date), <-- reason: No reason provided.,
ol Sponge, (Added: Unknown Date), <-- reason: No reason provided.,
ol Tristo, (Added: Unknown Date), <-- reason: No reason provided.,
ol walker, (Added: Unknown Date), <-- reason: No reason provided.,
Old Geezer, (Added: Unknown Date), <-- reason: No reason provided.,
Old Grimsby, (Added: Unknown Date), <-- reason: No reason provided.,
olisaur, (Added: Unknown Date), <-- reason: No reason provided.,
Olvia Pkz, (Added: Unknown Date), <-- reason: No reason provided.,
Omg Zezima, (Added: Unknown Date), <-- reason: No reason provided.,
ON HOOD 55ST, (Added: Unknown Date), <-- reason: No reason provided.,
OneTenPull, (Added: Unknown Date), <-- reason: No reason provided.,
OnlyGrimeys, (Added: Unknown Date), <-- reason: No reason provided.,
OO0Y, (Added: 2026-03-10), <-- reason: removed from banlist,
oop s, (Added: Unknown Date), <-- reason: No reason provided.,
orgnicsn1p3r, (Added: Unknown Date), <-- reason: No reason provided.,
osEcho, (Added: Unknown Date), <-- reason: No reason provided.,
Osman Ghazi, (Added: Unknown Date), <-- reason: No reason provided.,
OSRS AHSAN, (Added: Unknown Date), <-- reason: No reason provided.,
Osrs is Weak, (Added: Unknown Date), <-- reason: No reason provided.,
OSRS Natedog, (Added: Unknown Date), <-- reason: No reason provided.,
Otto Dhoko, (Added: Unknown Date), <-- reason: No reason provided.,
Overloads, (Added: Unknown Date), <-- reason: No reason provided.,
Oz Stralia, (Added: Unknown Date), <-- reason: No reason provided.,
P 2 W Britt, (Added: Unknown Date), <-- reason: No reason provided.,
P Min3r, (Added: 2026-03-26), <-- reason: Check Discord history,
P O J O, (Added: Unknown Date), <-- reason: No reason provided.,
P U F, (Added: Unknown Date), <-- reason: No reason provided.,
P060606, (Added: Unknown Date), <-- reason: No reason provided.,
P2HCEL, (Added: Unknown Date), <-- reason: No reason provided.,
pancakepapi, (Added: Unknown Date), <-- reason: No reason provided.,
paola_04, (Added: Unknown Date), <-- reason: No reason provided.,
PapaProtein, (Added: Unknown Date), <-- reason: No reason provided.,
paper cup, (Added: Unknown Date), <-- reason: No reason provided.,
Paprika Dust, (Added: Unknown Date), <-- reason: No reason provided.,
pataspiche, (Added: Unknown Date), <-- reason: No reason provided.,
pathfinder49, (Added: Unknown Date), <-- reason: No reason provided.,
patternPERM, (Added: Unknown Date), <-- reason: No reason provided.,
pbjnummies, (Added: 2026-05-17), <-- reason: Removed from ban list,
Peddy Wap, (Added: Unknown Date), <-- reason: No reason provided.,
PEEEEP2, (Added: Unknown Date), <-- reason: No reason provided.,
Penfivteen, (Added: Unknown Date), <-- reason: No reason provided.,
pentagono12, (Added: Unknown Date), <-- reason: No reason provided.,
Permaa Mewt, (Added: Unknown Date), <-- reason: No reason provided.,
Petter Iron, (Added: Unknown Date), <-- reason: No reason provided.,
PIIANOWSKY, (Added: Unknown Date), <-- reason: No reason provided.,
pimp sleeps, (Added: Unknown Date), <-- reason: No reason provided.,
Pine Eel, (Added: Unknown Date), <-- reason: No reason provided.,
Pink Sages, (Added: Unknown Date), <-- reason: No reason provided.,
pink supr3me, (Added: Unknown Date), <-- reason: No reason provided.,
Pixe7s, (Added: Unknown Date), <-- reason: No reason provided.,
Pkri, (Added: Unknown Date), <-- reason: No reason provided.,
Playakllerr, (Added: Unknown Date), <-- reason: No reason provided.,
player0-01, (Added: Unknown Date), <-- reason: No reason provided.,
Player73722, (Added: Unknown Date), <-- reason: No reason provided.,
PM Prisedent, (Added: Unknown Date), <-- reason: No reason provided.,
PM Trump, (Added: Unknown Date), <-- reason: No reason provided.,
Pojito, (Added: Unknown Date), <-- reason: No reason provided.,
pol pq si, (Added: Unknown Date), <-- reason: No reason provided.,
Ponzzy, (Added: Unknown Date), <-- reason: No reason provided.,
Pooglywoogly, (Added: Unknown Date), <-- reason: No reason provided.,
PoopFartSex, (Added: Unknown Date), <-- reason: No reason provided.,
Poopy Swirls, (Added: Unknown Date), <-- reason: No reason provided.,
potentpam, (Added: Unknown Date), <-- reason: No reason provided.,
Potth, (Added: Unknown Date), <-- reason: No reason provided.,
Pro, (Added: 2026-05-17), <-- reason: Removed from ban list,
pro cent, (Added: Unknown Date), <-- reason: No reason provided.,
Proficiently, (Added: Unknown Date), <-- reason: No reason provided.,
Proverbs1027, (Added: Unknown Date), <-- reason: No reason provided.,
Proverbs9 11, (Added: Unknown Date), <-- reason: No reason provided.,
Publicranger, (Added: Unknown Date), <-- reason: No reason provided.,
PumpDatWoman, (Added: Unknown Date), <-- reason: No reason provided.,
Punxy Phil, (Added: Unknown Date), <-- reason: No reason provided.,
Puppy KOEN, (Added: 2026-03-26), <-- reason: Check Discord history,
PurelyM0bile, (Added: Unknown Date), <-- reason: No reason provided.,
PurelySHA3ZY, (Added: Unknown Date), <-- reason: No reason provided.,
Purpledefenc, (Added: Unknown Date), <-- reason: No reason provided.,
purplefemboy, (Added: Unknown Date), <-- reason: No reason provided.,
Purplefox, (Added: Unknown Date), <-- reason: No reason provided.,
PvP Zerker, (Added: Unknown Date), <-- reason: No reason provided.,
QFinger, (Added: Unknown Date), <-- reason: No reason provided.,
qk, (Added: Unknown Date), <-- reason: No reason provided.,
qruncha, (Added: Unknown Date), <-- reason: No reason provided. [Proof: evidence/qruncha/qruncha_20260321_022422.png],
quackersme, (Added: 2026-03-26), <-- reason: Check Discord history,
Queen Viki17, (Added: Unknown Date), <-- reason: No reason provided.,
Quiet Kanna, (Added: Unknown Date), <-- reason: No reason provided.,
R I P OSRS, (Added: Unknown Date), <-- reason: No reason provided.,
raay, (Added: Unknown Date), <-- reason: No reason provided.,
rabbitturtle, (Added: Unknown Date), <-- reason: No reason provided.,
Rahm, (Added: Unknown Date), <-- reason: No reason provided.,
Raiddammen, (Added: Unknown Date), <-- reason: No reason provided.,
Raikarr, (Added: Unknown Date), <-- reason: No reason provided.,
Rain Paris, (Added: Unknown Date), <-- reason: No reason provided.,
Rajvir57, (Added: Unknown Date), <-- reason: No reason provided.,
Raksha420, (Added: Unknown Date), <-- reason: No reason provided.,
ramen uwu, (Added: Unknown Date), <-- reason: No reason provided.,
Rank Ones, (Added: Unknown Date), <-- reason: No reason provided.,
Rare Minds, (Added: Unknown Date), <-- reason: No reason provided.,
rat that sat, (Added: Unknown Date), <-- reason: No reason provided.,
Razkula, (Added: 2026-05-17), <-- reason: Removed from ban list,
Real Spirits, (Added: Unknown Date), <-- reason: No reason provided.,
Redrob06, (Added: Unknown Date), <-- reason: No reason provided.,
reeferdude69, (Added: Unknown Date), <-- reason: No reason provided.,
Relty, (Added: Unknown Date), <-- reason: No reason provided.,
resess, (Added: Unknown Date), <-- reason: No reason provided.,
resess DMM, (Added: Unknown Date), <-- reason: No reason provided.,
Reseta, (Added: Unknown Date), <-- reason: No reason provided.,
RESURG3NCE, (Added: Unknown Date), <-- reason: No reason provided.,
RetiredAcct, (Added: Unknown Date), <-- reason: No reason provided.,
RetiredMut3d, (Added: 2026-03-10), <-- reason: removed from banlist,
Retributez, (Added: Unknown Date), <-- reason: No reason provided.,
Rev Ghost, (Added: Unknown Date), <-- reason: No reason provided.,
RG FLOCK, (Added: 2026-05-08), <-- reason: Removed from ban list,
RiCHHy, (Added: 2026-03-26), <-- reason: Check Discord history,
rick venlo, (Added: Unknown Date), <-- reason: No reason provided.,
Riddle Raz, (Added: Unknown Date), <-- reason: No reason provided.,
RIGITY-REKD, (Added: Unknown Date), <-- reason: No reason provided.,
River One, (Added: Unknown Date), <-- reason: No reason provided.,
RNG Multi, (Added: Unknown Date), <-- reason: No reason provided.,
RNG Wax, (Added: Unknown Date), <-- reason: No reason provided.,
Rng WS Quen, (Added: Unknown Date), <-- reason: No reason provided.,
RNGeniuz, (Added: Unknown Date), <-- reason: No reason provided.,
Ro4, (Added: Unknown Date), <-- reason: No reason provided.,
Rock3tL3agu3, (Added: Unknown Date), <-- reason: No reason provided.,
Rodz x, (Added: Unknown Date), <-- reason: No reason provided.,
rokstar, (Added: Unknown Date), <-- reason: No reason provided.,
Rolleston, (Added: Unknown Date), <-- reason: No reason provided.,
ROMEO R J, (Added: Unknown Date), <-- reason: No reason provided.,
Romeo_007, (Added: Unknown Date), <-- reason: No reason provided.,
roombroodje1, (Added: Unknown Date), <-- reason: No reason provided.,
rosax27012, (Added: Unknown Date), <-- reason: No reason provided.,
RoT Opana, (Added: Unknown Date), <-- reason: No reason provided.,
RuckThis, (Added: 2026-05-17), <-- reason: Removed from ban list,
